descriptions,General,User,minsu
,General,DateTime,2025-09-03 ¿ÀÈÄ 2:10:18
,General,Origin,"Software revision: Application_001.sdf, Application_001.rta\nVariable description: Application_001.sdf\n    Platform / Device: Platform [MicroAutoBox III, assigned to 'MicroAutoBox III_2']\nControlDesk version: 7.2"
,General,Description,
,Recording,StartCondition,None (Immediate Recording)
,Recording,StopCondition,None
,Measurement,XAxisOffset,0
,Measurement,Length,8.430022237
,Measurement,StartTimestamp,18258.88632
,Measurement,StopTimestamp,18267.31634
,MDF,Department,
,MDF,Project,
,MDF,MeasurementObject,

trace_size,844
trace_types,5,4,4,4,4,4,4,4,4,4,4,4,4,18,18,18,18,18,18,4,4,4,4,4,4,4,4,4
trace_names,,In1,In1,In1,In1,In1,In1,Arm_in_duty,Arm_out_duty,Bkt_in_duty,Bkt_out_duty,Boom_dn_duty,Boom_up_duty,In1,In1,In1,In1,In1,In1,In1,In1,In1,In1,In1,In1,In1,In1,In1
trace_units,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform
raster,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional
description,,,,,,,,,,,,,,,,,,,,,,,,,,,,
displayidentifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,
path,,Model Root/Cylinder pressure(22.03.23)/Arm_InH_Cyl_P,Model Root/Cylinder pressure(22.03.23)/Arm_OutR_Cyl_P,Model Root/Cylinder pressure(22.03.23)/Bkt_InH_Cyl_P,Model Root/Cylinder pressure(22.03.23)/Bkt_OutR_Cyl_P,Model Root/Cylinder pressure(22.03.23)/Boom_DnR_Cyl_P,Model Root/Cylinder pressure(22.03.23)/Boom_UpH_Cyl_P,Model Root/Danfoss Siganl (22.03.23),Model Root/Danfoss Siganl (22.03.23),Model Root/Danfoss Siganl (22.03.23),Model Root/Danfoss Siganl (22.03.23),Model Root/Danfoss Siganl (22.03.23),Model Root/Danfoss Siganl (22.03.23),Model Root/Danfoss Siganl (22.03.23)/Arm_in_FB,Model Root/Danfoss Siganl (22.03.23)/Arm_out_FB,Model Root/Danfoss Siganl (22.03.23)/Bkt_in_FB,Model Root/Danfoss Siganl (22.03.23)/Bkt_out_FB,Model Root/Danfoss Siganl (22.03.23)/Boom_dn_FB,Model Root/Danfoss Siganl (22.03.23)/Boom_up_FB,Model Root/ERRP pressure(22.03.23)/Arm_In_eppr_P,Model Root/ERRP pressure(22.03.23)/Arm_Out_eppr_P,Model Root/ERRP pressure(22.03.23)/Bkt_In_eppr_P,Model Root/ERRP pressure(22.03.23)/Bkt_Out_eppr_P,Model Root/ERRP pressure(22.03.23)/Boom_Dn_eppr_P,Model Root/ERRP pressure(22.03.23)/Boom_Up_eppr_P,Model Root/Joint_Angles(22.03.28)/Arm_ang,Model Root/Joint_Angles(22.03.28)/Bkt_ang,Model Root/Joint_Angles(22.03.28)/Boom_ang
flags,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
min,,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,0,0,0,0,0,0,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308
max,,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308
minWeak,,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,0,0,0,0,0,0,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308
maxWeak,,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308
trace_values,0,109.57944764078559,6.6817208263399701,57.621388503144594,40.690381193150017,66.317745689931286,216.29043399555158,0,0,0,0,0,0,2,4,2,4,0,0,0.09307861328125,0.066375732421875,-0.246429443359375,-0.4180908203125,-0.154876708984375,-0.307464599609375,-155.69958862304688,-97.077456470323554,61.245618896484373
,0.010025786719779717,109.5727917559999,6.7159896712920739,57.625306406128679,40.695811638884088,66.32800996999778,216.29985205121531,0,0,0,0,0,0,2,4,2,4,0,0,0.142669677734375,0.26092529296875,0.26092529296875,-0.131988525390625,-0.1434326171875,0.035858154296875,-155.69971069335938,-97.077280972281258,61.244947509765623
,0.020026965623401338,109.58754625002796,6.7221770475739673,57.657995674172916,40.713231672432961,66.312374796342169,216.2896891826212,0,0,0,0,0,0,0,0,2,2,2,0,0.211334228515625,-0.032806396484375,0.12359619140625,-0.078582763671875,-0.189208984375,-0.109100341796875,-155.6997412109375,-97.07605249441707,61.244703369140623
,0.029999643749761162,109.60304009643752,6.7548489579045716,57.668988664753883,40.658330004717399,66.264872285753114,216.28045011878226,0,0,0,0,0,0,0,0,2,2,2,0,0.051116943359375,0.119781494140625,0.127410888671875,-0.063323974609375,0.157928466796875,-0.13580322265625,-155.69952758789063,-97.075993995839212,61.244398193359373
,0.040004826561926166,109.60464233687642,6.7595845609220619,57.676901856602363,40.660432295813976,66.292425973591435,216.27829249351231,0,0,0,0,0,0,0,0,2,2,2,0,0.089263916015625,-0.13580322265625,0.03204345703125,-0.07476806640625,-0.147247314453125,-0.238800048828125,-155.70044311523438,-97.072133163675275,61.244520263671873
,0.050001330466329819,109.62274322076881,6.7659702335139338,57.70282056230986,40.672746168093234,66.313313959427916,216.28465313993408,0,0,0,0,0,0,2,2,4,4,4,0,-0.006103515625,-0.04425048828125,-0.147247314453125,-0.070953369140625,-0.05950927734375,0.096893310546875,-155.69958862304688,-97.072718128877725,61.244215087890623
,0.060004523827956291,109.62671551898335,6.7863391996879079,57.709738970559172,40.669376958161607,66.30109518902178,216.27795238826405,0,0,0,0,0,0,2,2,4,4,4,0,-0.177764892578125,-0.337982177734375,0.20751953125,-0.116729736328125,-0.208282470703125,-0.368499755859375,-155.69858154296875,-97.074531542266641,61.243726806640623
,0.070001129686716013,109.64072941473356,6.8048566268366679,57.684820457168549,40.668394545301439,66.289987104845551,216.28850502203022,0,0,0,0,0,0,2,2,2,0,4,4,-0.254058837890625,-0.128173828125,-0.0823974609375,-0.22735595703125,0.074005126953125,-0.03662109375,-155.69940551757813,-97.073537085781723,61.244398193359373
,0.080008794138848316,109.62642248080731,6.7884022456388555,57.66216703664513,40.659179290215569,66.261163922522911,216.26897091894566,0,0,0,0,0,0,2,2,2,0,4,4,-0.154876708984375,0.09307861328125,0.127410888671875,-0.2960205078125,-0.15869140625,-0.25787353515625,-155.69995483398438,-97.073829571979459,61.245161132812498
,0.090006864062161185,109.57180532940153,6.7921683906899712,57.639492276158627,40.638318486484977,66.234960767473396,216.25537353760879,0,0,0,0,0,0,4,4,2,2,2,0,-0.067138671875,-0.09765625,-0.284576416015625,-0.42572021484375,-0.189208984375,0.043487548828125,-155.69919189453125,-97.075876998783869,61.244611816406248
,0.100005943357246,109.55960252305464,6.7893505854899256,57.618878651400337,40.646400896366224,66.242347517547955,216.26381751712219,0,0,0,0,0,0,4,4,2,2,2,0,0.295257568359375,0.238037109375,-0.1129150390625,-0.3265380859375,0.13885498046875,-0.25787353515625,-155.69763549804688,-97.078216965320053,61.244001464843748
,0.11001977031264687,109.5693143106914,6.8117553494466252,57.627185771685312,40.651668079300599,66.238660132597374,216.27357447478647,0,0,0,0,0,0,4,4,2,2,2,0,0.279998779296875,0.0091552734375,0.2227783203125,-0.07476806640625,-0.15869140625,-0.025177001953125,-155.69873413085938,-97.081961023137879,61.244306640624998
