descriptions,General,User,minsu
,General,DateTime,2025-09-03 ¿ÀÈÄ 3:12:18
,General,Origin,"Software revision: Application_001.sdf, Application_001.rta\nVariable description: Application_001.sdf\n    Platform / Device: Platform [MicroAutoBox III, assigned to 'MicroAutoBox III_2']\nControlDesk version: 7.2"
,General,Description,
,Recording,StartCondition,None (Immediate Recording)
,Recording,StopCondition,None
,Measurement,XAxisOffset,0
,Measurement,Length,30.00994932
,Measurement,StartTimestamp,3137.410416
,Measurement,StopTimestamp,3167.420366
,MDF,Department,
,MDF,Project,
,MDF,MeasurementObject,

trace_size,3002
trace_types,5,4,4,4,4,4,4,4,4,4,4,4,4,18,18,18,18,18,18,4,4,4,4,4,4,4,4,4
trace_names,,In1,In1,In1,In1,In1,In1,Arm_in_duty,Arm_out_duty,Bkt_in_duty,Bkt_out_duty,Boom_dn_duty,Boom_up_duty,In1,In1,In1,In1,In1,In1,In1,In1,In1,In1,In1,In1,In1,In1,In1
trace_units,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devices,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform
raster,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional,10ms Additional
description,,,,,,,,,,,,,,,,,,,,,,,,,,,,
displayidentifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,
path,,Model Root/Cylinder pressure(22.03.23)/Arm_InH_Cyl_P,Model Root/Cylinder pressure(22.03.23)/Arm_OutR_Cyl_P,Model Root/Cylinder pressure(22.03.23)/Bkt_InH_Cyl_P,Model Root/Cylinder pressure(22.03.23)/Bkt_OutR_Cyl_P,Model Root/Cylinder pressure(22.03.23)/Boom_DnR_Cyl_P,Model Root/Cylinder pressure(22.03.23)/Boom_UpH_Cyl_P,Model Root/Danfoss Siganl (22.03.23),Model Root/Danfoss Siganl (22.03.23),Model Root/Danfoss Siganl (22.03.23),Model Root/Danfoss Siganl (22.03.23),Model Root/Danfoss Siganl (22.03.23),Model Root/Danfoss Siganl (22.03.23),Model Root/Danfoss Siganl (22.03.23)/Arm_in_FB,Model Root/Danfoss Siganl (22.03.23)/Arm_out_FB,Model Root/Danfoss Siganl (22.03.23)/Bkt_in_FB,Model Root/Danfoss Siganl (22.03.23)/Bkt_out_FB,Model Root/Danfoss Siganl (22.03.23)/Boom_dn_FB,Model Root/Danfoss Siganl (22.03.23)/Boom_up_FB,Model Root/ERRP pressure(22.03.23)/Arm_In_eppr_P,Model Root/ERRP pressure(22.03.23)/Arm_Out_eppr_P,Model Root/ERRP pressure(22.03.23)/Bkt_In_eppr_P,Model Root/ERRP pressure(22.03.23)/Bkt_Out_eppr_P,Model Root/ERRP pressure(22.03.23)/Boom_Dn_eppr_P,Model Root/ERRP pressure(22.03.23)/Boom_Up_eppr_P,Model Root/Joint_Angles(22.03.28)/Arm_ang,Model Root/Joint_Angles(22.03.28)/Bkt_ang,Model Root/Joint_Angles(22.03.28)/Boom_ang
flags,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
min,,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,0,0,0,0,0,0,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308
max,,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308
minWeak,,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,0,0,0,0,0,0,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308,-1.797693135e+308
maxWeak,,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308,1.797693135e+308
trace_values,0,12.151290260818646,240.67393645051922,26.093800175950321,190.42738667356249,7.9456128141386193,145.25414542808423,0,0,0,0,0,0,4,4,4,2,0,0,0.59661865234375,0.371551513671875,0.432586669921875,0.318145751953125,0.165557861328125,0.173187255859375,-33.998782958984371,42.991313022992763,1.6977429199218745
,0.0099867550784438208,12.139851532018435,240.67018163912991,26.088275259731827,190.39513945882237,7.9565374565013887,145.25237603664988,0,0,0,0,0,0,4,4,4,2,0,0,0.4364013671875,0.48980712890625,0.218963623046875,0.363922119140625,0.3143310546875,0.234222412109375,-33.999088134765621,42.992521804352215,1.6977429199218745
,0.020003141015877191,12.135694191332176,240.65844599654119,26.083252558397596,190.38246780301151,7.9685495847620524,145.24660641111959,0,0,0,0,0,0,2,4,2,2,0,0,0.42877197265625,0.421142578125,0.760650634765625,0.394439697265625,0.32196044921875,0.0244140625,-33.999088134765621,42.99240848083091,1.6979260253906245
,0.029979670312513917,12.15272011180102,240.66442141097318,26.097411243612694,190.37302853660253,7.983630882341167,145.24552231632734,0,0,0,0,0,0,2,4,2,2,0,0,0.24566650390625,0.249481201171875,0.23040771484375,0.4058837890625,0.150299072265625,0.165557861328125,-33.999393310546878,42.992597353397279,1.5980175781249994
,0.04001063437499397,12.157795696655887,240.67193419612195,26.097799689009708,190.37068890717617,7.9910996823043243,145.24453676575169,0,0,0,0,0,0,2,0,2,2,0,2,0.299072265625,0.127410888671875,0.299072265625,0.096893310546875,0.142669677734375,0.0396728515625,-33.998874511718753,42.993012873587126,1.5978649902343744
,0.049988803906217072,12.164490446736117,240.68084460498937,26.114797111829507,190.37688409361934,7.9999701042395017,145.24364080172339,0,0,0,0,0,0,2,0,2,2,0,2,0.1922607421875,0.096893310546875,0.35247802734375,0.18463134765625,0.1617431640625,0.08544921875,-33.998508300781253,42.991766315260989,1.5978649902343744
,0.060000982422025118,12.147690749258663,240.65149541169467,26.111524645916941,190.35546917106208,7.9976315253774128,145.24698735260259,0,0,0,0,0,0,2,0,2,2,0,2,0.150299072265625,0.390625,0.0701904296875,-0.131988525390625,0.30670166015625,0.08544921875,-33.997958984375003,42.990481989478823,1.5981091308593744
,0.069987635547022364,12.161545646723315,240.66226370606654,26.116871790710512,190.34848408029734,8.0038276668885739,145.26043238145024,0,0,0,0,0,0,2,12,0,4,0,4,0.12359619140625,0.52032470703125,0.470733642578125,-0.093841552734375,0.146484375,0.299072265625,-33.997440185546878,42.987724490607029,1.5987805175781244
,0.080011807812752522,12.190785421117807,240.66373101892535,26.127974487708368,190.33173125483972,8.0219437944684042,145.26849418539828,0,0,0,0,0,0,2,12,0,4,0,4,0.173187255859375,0.348663330078125,0.62713623046875,0.2532958984375,0.150299072265625,0.146484375,-33.996951904296878,42.98753562202603,1.5984143066406244
,0.08998758046891453,12.190320333467106,240.66506495304526,26.113101518885053,190.30609858177286,8.0051245918324767,145.27166209959009,0,0,0,0,0,0,4,0,2,0,2,2,0.249481201171875,0.33721923828125,0.272369384765625,0.24566650390625,0.15411376953125,0.279998779296875,-33.999667968750003,42.987044564437888,1.6018017578124994
,0.1000045277346544,12.167011627508462,240.64963334544433,26.112063718259808,190.27863484691039,7.9835926470501395,145.24957561971783,0,0,0,0,0,0,4,0,2,0,2,2,0.318145751953125,-0.0213623046875,0.55084228515625,0.36773681640625,0.279998779296875,0.112152099609375,-33.999942626953128,42.987120111691191,1.6020764160156244
,0.10998128632809312,12.152063290587474,240.64808768630633,26.106959181934059,190.26407024499031,7.9910649226012502,145.25238269564133,0,0,0,0,0,0,4,0,2,0,2,2,0.608062744140625,0.218963623046875,0.112152099609375,0.3143310546875,0.188446044921875,0.455474853515625,-34.000278320312503,42.986629054986395,1.6023205566406244
