Item,Value
Action,Boom Down
Duty Value,50
Total Records,937
,
=== Angle Limit Applied (Boom Down) ===,
Applied Limit,Boom_ang: 0.0° ~ 60.0°
Note,Only selected action axis checked
,
Angle Min,4.13
Angle Max,54.92
Angle Change,50.79
Moving Time (s),9.36
Average Velocity,-5.25
Average Pilot Pressure,15.58
Average Current FB,4998.18
Response Time - current_fb_response_time,0.000
Response Time - pilot_pressure_response_time,0.000
Response Time - angle_response_time,0.000
,
=== 다른 축들의 각도 ===,
Arm 각도,-34.04
Bucket 각도,42.86
,
=== 전체 각도 합계 ===,
최종 전체 각도,12.95
