Item,Value
Action,Bucket In
Duty Value,40
Total Records,3480
,
=== Angle Limit Applied (Bucket In) ===,
Applied Limit,Bkt_ang: -125.0° ~ 40.0°
Note,Only selected action axis checked
,
Angle Min,-80.63
Angle Max,39.88
Angle Change,120.51
Moving Time (s),34.79
Average Velocity,-3.45
Average Pilot Pressure,11.02
Average Current FB,4477.71
Response Time - current_fb_response_time,0.000
Response Time - pilot_pressure_response_time,0.000
Response Time - angle_response_time,0.000
,
=== 다른 축들의 각도 ===,
Boom 각도,35.79
Arm 각도,-147.21
,
=== 전체 각도 합계 ===,
최종 전체 각도,-192.04
